gameId,gameDate,hometeamCity,hometeamName,hometeamId,awayteamCity,awayteamName,awayteamId,homeScore,awayScore,winner,gameType,attendance,arenaId,gameLabel,gameSubLabel,seriesGameNumber
22400453,2024-12-31 21:00,Phoenix,Suns,1610612756,Memphis,Grizzlies,1610612763,112,117,1610612763,Regular Season,17071,1000051,,,0
22400454,2024-12-31 21:00,Los Angeles,Lakers,1610612747,Cleveland,Cavaliers,1610612739,110,122,1610612739,Regular Season,18997,1000069,,,0
22400452,2024-12-31 20:00,Oklahoma City,Thunder,1610612760,Minnesota,Timberwolves,1610612750,113,105,1610612760,Regular Season,18203,1000052,,,0
22400451,2024-12-31 19:00,San Antonio,Spurs,1610612759,Los Angeles,Clippers,1610612746,122,86,1610612759,Regular Season,18690,1000118,,,0
22400449,2024-12-31 15:00,Boston,Celtics,1610612738,Toronto,Raptors,1610612761,125,71,1610612738,Regular Season,19156,17,,,0
22400450,2024-12-31 15:00,Indiana,Pacers,1610612754,Milwaukee,Bucks,1610612749,112,120,1610612749,Regular Season,17274,1000063,,,0
22400446,2024-12-30 22:00,Golden State,Warriors,1610612744,Cleveland,Cavaliers,1610612739,95,113,1610612739,Regular Season,18064,1000011,,,0
22400447,2024-12-30 22:00,Portland,Trail Blazers,1610612757,Philadelphia,76ers,1610612755,103,125,1610612755,Regular Season,16721,51,,,0
22400448,2024-12-30 22:00,Sacramento,Kings,1610612758,Dallas,Mavericks,1610612742,110,100,1610612758,Regular Season,16844,609,,,0
22400445,2024-12-30 21:00,Utah,Jazz,1610612762,Denver,Nuggets,1610612743,121,132,1610612743,Regular Season,18175,1000106,,,0
22400444,2024-12-30 20:00,New Orleans,Pelicans,1610612740,Los Angeles,Clippers,1610612746,113,116,1610612746,Regular Season,17303,160,,,0
22400442,2024-12-30 19:00,Charlotte,Hornets,1610612766,Chicago,Bulls,1610612741,108,115,1610612741,Regular Season,19197,9,,,0
22400443,2024-12-30 19:00,Washington,Wizards,1610612764,New York,Knicks,1610612752,106,126,1610612752,Regular Season,20385,77,,,0
22400441,2024-12-29 21:00,Minnesota,Timberwolves,1610612750,San Antonio,Spurs,1610612759,112,110,1610612750,Regular Season,18978,61,,,0
22400439,2024-12-29 19:00,Houston,Rockets,1610612745,Miami,Heat,1610612748,100,104,1610612748,Regular Season,18055,215,,,0
22400440,2024-12-29 19:00,Oklahoma City,Thunder,1610612760,Memphis,Grizzlies,1610612763,130,106,1610612760,Regular Season,18203,1000052,,,0
22400437,2024-12-29 18:00,Boston,Celtics,1610612738,Indiana,Pacers,1610612754,114,123,1610612754,Regular Season,19156,17,,,0
22400438,2024-12-29 18:00,Toronto,Raptors,1610612761,Atlanta,Hawks,1610612737,107,136,1610612737,Regular Season,19359,643,,,0
22400436,2024-12-29 15:30,Orlando,Magic,1610612753,Brooklyn,Nets,1610612751,102,101,1610612753,Regular Season,19397,1000125,,,0
